Date;Prec;Temp;PET;Qobs
2018-05-01;0.375;25.0;4.08651529141189;2.367398194130925
2018-05-02;0.0;25.27;4.10607546463958;2.367398194130925
2018-05-03;0.325;25.2;4.07954825611997;2.358178781038375
2018-05-04;0.0;24.73;3.999446157237855;2.342947449209932
2018-05-05;0.4;24.1;3.898595160093964;2.327716117381489
2018-05-06;7.425;24.8;3.976062688820005;2.3124847855530475
2018-05-07;0.0;25.67;4.075541939874074;2.297253453724605
2018-05-08;0.0;24.93;3.9612019788422255;2.282157020316028
2018-05-09;0.0;25.4;4.007354954185031;2.267060586907449
2018-05-10;0.0;25.3;3.9783897426586967;2.2461147629796843
2018-05-11;0.0;25.67;4.011221927163207;2.225168939051919
2018-05-12;0.0;23.63;3.72993671186416;2.210342302483069
2018-05-13;2.2;23.37;3.681941383430296;2.195515665914221
2018-05-14;0.0;24.67;3.836135628395104;2.1806890293453725
2018-05-15;0.0;25.27;3.8991539642780175;2.1658623927765244
2018-05-16;5.1;23.83;3.700054074094116;2.1418163431151243
2018-05-17;8.275;23.47;3.640671460695709;2.123619683972912
2018-05-18;0.0;23.87;3.67872851870088;2.1146424379232505
2018-05-19;6.2;21.83;3.4068742387712785;2.1131569300225737
2018-05-20;7.875;18.4;2.961177861209849;2.113156930022573
2018-05-21;0.0;18.3;2.93864872212258;2.113156930022573
2018-05-22;0.0;21.13;3.284772952488633;2.110191602708804
2018-05-23;0.0;21.27;3.291792376737387;2.110191602708804
2018-05-24;0.0;22.2;3.397668763907673;2.110191602708804
2018-05-25;0.0;22.97;3.483203424526463;2.110191602708804
2018-05-26;0.0;23.47;3.53495295155968;2.110191602708804
2018-05-27;0.0;23.43;3.519811928376492;2.110191602708804
2018-05-28;0.0;23.2;3.481575455079497;2.110191602708804
2018-05-29;0.0;23.33;3.488157452065744;2.110191602708804
2018-05-30;0.0;24.2;3.5858725668954845;2.110191602708804
2018-05-31;0.0;24.8;3.650324031374197;2.110191602708804
2018-06-01;0.0;24.7;3.6292455365768848;2.104342212189616
2018-06-02;0.0;21.37;3.2148245886783635;2.098492821670429
2018-06-03;0.0;17.4;2.724744554262637;2.0882795485327312
2018-06-04;0.0;18.27;2.824548226080512;2.076580767494357
2018-06-05;0.0;19.13;2.9230065264430727;2.0648819864559824
2018-06-06;0.0;19.67;2.98268402200954;2.0561485327313767
2018-06-07;0.0;19.63;2.9724506770828176;2.047415079006772
2018-06-08;0.0;19.83;2.9914814413507447;2.038681625282167
2018-06-09;0.0;22.87;3.3523840133588267;2.035797562076749
2018-06-10;0.0;25.27;3.635673465978712;2.0329134988713315
2018-06-11;0.5;25.2;3.6222971483222506;2.0300294356659143
2018-06-12;0.0;24.67;3.554257631383311;2.0271453724604966
2018-06-13;0.0;22.0;3.2307203940346216;2.024261309255079
2018-06-14;0.0;19.43;2.9202079759062665;2.0213772460496613
2018-06-15;0.0;18.6;2.8184339931987927;2.018493182844244
2018-06-16;0.0;17.67;2.7052295175951144;2.0127518735891643
2018-06-17;0.0;18.57;2.8107381447697426;2.007010564334086
2018-06-18;0.0;20.03;2.983194592230347;2.0041533182844247
2018-06-19;0.0;21.47;3.153454151983341;2.0012960722347635
2018-06-20;0.0;22.5;3.2751348538001044;1.9984388261851007
2018-06-21;0.0;23.07;3.3423735469785383;1.99558158013544
2018-06-22;0.0;24.0;3.452859195865485;1.9927243340857783
2018-06-23;0.0;23.83;3.432780475590094;1.989867088036117
2018-06-24;0.0;23.57;3.402391789154637;1.9870098419864564
2018-06-25;0.0;23.47;3.391457032922734;1.9841525959367945
2018-06-26;0.0;23.33;3.3761530978729697;1.9812953498871329
2018-06-27;0.0;23.33;3.377929494392093;1.978438103837472
2018-06-28;0.0;23.2;3.364597091331666;1.97558085778781
2018-06-29;0.0;23.1;3.355223403923868;1.9727236117381493
2018-06-30;0.0;23.07;3.3545910305651696;1.9670367494356653
2018-07-01;0.0;23.13;3.365111407106215;1.9642071331828448
2018-07-02;0.0;23.13;3.368853036848759;1.9613775169300225
2018-07-03;0.0;22.93;3.3490026401436865;1.9585479006772009
2018-07-04;0.0;23.03;3.36549507266972;1.9557182844243792
2018-07-05;0.0;23.7;3.45094146677441;1.952888668171558
2018-07-06;0.0;23.6;3.444288264024446;1.950059051918736
2018-07-07;0.0;23.17;3.3981719749011114;1.9472294356659143
2018-07-08;0.0;23.53;3.4477195455295395;1.9443998194130925
2018-07-09;0.0;18.13;2.8004210167746613;1.9415702031602708
2018-07-10;0.0;14.23;2.332865185997026;1.9387405869074488
2018-07-11;0.0;17.17;2.6951506457173005;1.9331089841986453
2018-07-12;0.0;21.87;3.2736746507534287;1.927477381489842
2018-07-13;0.0;23.43;3.4716652799897947;1.9218457787810383
2018-07-14;0.0;24.13;3.5656306466600967;1.9162141760722349
2018-07-15;0.0;24.73;3.6480978732826617;1.9134121896162528
2018-07-16;0.0;25.13;3.706690048023764;1.9106102031602712
2018-07-17;0.0;24.83;3.679551153036146;1.907808216704289
2018-07-18;0.0;24.7;3.673587310850563;1.9050062302483075
2018-07-19;0.0;24.7;3.683999246688912;1.9022042437923248
2018-07-20;0.0;24.97;3.7283337084937127;1.899402257336343
2018-07-21;0.0;20.07;3.1281100687654573;1.891078374717833
2018-07-22;0.0;20.07;3.137727996228876;1.882754492099324
2018-07-23;0.0;23.1;3.5280362412860384;1.8744306094808123
2018-07-24;0.0;22.27;3.434859475999435;1.8661067268623028
2018-07-25;0.0;20.77;3.2566087438090454;1.8577828442437925
2018-07-26;0.0;21.63;3.376592966141349;1.852260948081264
