Date;P;T;IRA;IRI;Q_obs;f_cpmax_Ric;f_sfmax_Ric;f_roots_Ric;f_cpmax_Soy;f_sfmax_Soy;f_roots_Soy
2013-03-03;16.375;25.6;0.0;0.0;2.553;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-04;10.075;25.63;0.0;0.0;2.57;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-05;2.55;25.97;0.0;0.0;2.605;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-06;0.0;26.1;0.0;0.0;2.637;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-07;11.65;25.1;0.0;0.0;2.628;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-08;27.7;25.03;0.0;0.0;2.61;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-09;7.225;26.33;0.0;0.0;2.598;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-10;0.75;26.83;0.0;0.0;2.583;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-11;1.725;25.9;0.0;0.0;2.568;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-12;2.05;26.87;0.0;0.0;2.554;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-13;0.0;26.8;0.0;0.0;2.539;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-14;12.5;24.67;0.0;0.0;2.518;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-15;34.7;24.33;0.0;0.0;2.507;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-16;5.025;24.3;0.0;0.0;2.518;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-17;3.375;24.73;0.0;0.0;2.538;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-18;11.275;24.0;0.0;0.0;2.547;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-19;7.275;23.97;0.0;0.0;2.571;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-20;14.65;23.93;0.0;0.0;2.586;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-21;2.025;24.53;0.0;0.0;2.601;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-22;6.525;24.9;0.0;0.0;2.619;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-23;5.925;24.17;0.0;0.0;2.637;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-24;0.95;23.53;0.0;0.0;2.655;0.2;0.2;0.2;0.2;0.2;0.2
2013-03-25;21.3;24.07;0.0;0.0;2.679;0.2;0.2;0.2;0.2004015147892547;0.2004015147892547;0.2004015147892547
2013-03-26;0.0;23.87;0.0;0.0;2.694;0.2;0.2;0.2;0.2004436038204051;0.2004436038204051;0.2004436038204051
2013-03-27;6.5;23.8;0.0;0.0;2.709;0.2;0.2;0.2;0.2004897986399232;0.2004897986399232;0.2004897986399232
2013-03-28;9.825;23.91;0.0;0.0;2.723;0.2;0.2;0.2;0.2005404660742228;0.2005404660742228;0.2005404660742228
2013-03-29;0.0;24.25;0.0;0.0;2.732;0.2;0.2;0.2;0.2005960022055906;0.2005960022055906;0.2005960022055906
2013-03-30;4.7;24.95;0.0;0.0;2.718;0.2;0.2;0.2;0.200656834357828;0.200656834357828;0.200656834357828
2013-03-31;4.225;25.55;0.0;0.0;2.694;0.2;0.2;0.2;0.2007234231840365;0.2007234231840365;0.2007234231840365
2013-04-01;17.875;24.65;0.0;0.0;2.658;0.2;0.2;0.2;0.2007962648588226;0.2007962648588226;0.2007962648588226
2013-04-02;6.925;25.15;0.0;0.0;2.632;0.2;0.2;0.2;0.2008758933769465;0.2008758933769465;0.2008758933769465
2013-04-03;4.3;25.6;0.0;0.0;2.591;0.2;0.2;0.2;0.2009628829601599;0.2009628829601599;0.2009628829601599
2013-04-04;3.3;25.15;0.0;0.0;2.544;0.2;0.2;0.2;0.201057850573656;0.201057850573656;0.201057850573656
2013-04-05;1.625;25.17;0.0;0.0;2.497;0.2;0.2;0.2;0.2011614585531968;0.2011614585531968;0.2011614585531968
2013-04-06;0.0;25.7;0.0;0.0;2.456;0.2;0.2;0.2;0.2012744173435782;0.2012744173435782;0.2012744173435782
2013-04-07;4.35;24.43;0.0;0.0;2.415;0.2;0.2;0.2;0.2013974883486505;0.2013974883486505;0.2013974883486505
2013-04-08;0.65;24.17;0.0;0.0;2.374;0.2;0.2;0.2;0.2015314868926232;0.2015314868926232;0.2015314868926232
2013-04-09;6.225;24.23;0.0;0.0;2.33;0.2;0.2;0.2;0.2016772852918431;0.2016772852918431;0.2016772852918431
2013-04-10;3.675;24.23;0.0;0.0;2.296;0.2;0.2;0.2;0.2018358160356527;0.2018358160356527;0.2018358160356527
2013-04-11;6.075;24.47;0.0;0.0;2.261;0.2;0.2;0.2;0.2020080750743033;0.2020080750743033;0.2020080750743033
2013-04-12;2.025;24.3;0.0;0.0;2.227;0.2;0.2;0.2;0.2021951252112105;0.2021951252112105;0.2021951252112105
2013-04-13;3.325;23.4;0.0;0.0;2.204;0.2;0.2;0.2;0.2023980995961076;0.2023980995961076;0.2023980995961076
2013-04-14;1.9;22.43;0.0;0.0;2.196;0.2;0.2;0.2;0.2026182053148676;0.2026182053148676;0.2026182053148676
2013-04-15;2.275;24.1;0.0;0.0;2.185;0.2;0.2;0.2;0.2028567270709228;0.2028567270709228;0.2028567270709228
2013-04-16;0.225;24.03;0.0;0.0;2.176;0.2;0.2;0.2;0.2031150309523277;0.2031150309523277;0.2031150309523277
2013-04-17;3.55;23.47;0.0;0.0;2.168;0.2;0.2;0.2;0.2033945682775656;0.2033945682775656;0.2033945682775656
2013-04-18;0.0;22.57;0.0;0.0;2.16;0.2;0.2;0.2;0.2036968795122133;0.2036968795122133;0.2036968795122133
2013-04-19;0.0;23.07;0.0;0.0;2.154;0.2;0.2;0.2;0.2040235982475367;0.2040235982475367;0.2040235982475367
2013-04-20;0.0;22.73;0.0;0.0;2.146;0.2;0.2;0.2;0.2043764552310039;0.2043764552310039;0.2043764552310039
2013-04-21;6.75;22.33;0.0;0.0;2.138;0.2;0.2;0.2;0.2047572824375714;0.2047572824375714;0.2047572824375714
2013-04-22;0.0;23.03;0.0;0.0;2.13;0.2;0.2;0.2;0.2051680171694246;0.2051680171694246;0.2051680171694246
2013-04-23;12.45;23.6;0.0;0.0;2.13;0.2;0.2;0.2;0.2056107061706382;0.2056107061706382;0.2056107061706382
2013-04-24;5.05;21.0;0.0;0.0;2.132;0.2004015147892547;0.2004015147892547;0.2004015147892547;0.206087509741975;0.206087509741975;0.206087509741975
2013-04-25;6.175;21.5;0.0;0.0;2.135;0.2004436038204051;0.2004436038204051;0.2004436038204051;0.206600705839757;0.206600705839757;0.206600705839757
2013-04-26;0.15;23.1;0.0;0.0;2.138;0.2004897986399232;0.2004897986399232;0.2004897986399232;0.2071526941414383;0.2071526941414383;0.2071526941414383
2013-04-27;1.725;23.93;0.0;0.0;2.141;0.2005404660742228;0.2005404660742228;0.2005404660742228;0.207746000059174;0.207746000059174;0.207746000059174
2013-04-28;0.0;23.97;0.0;0.0;2.143;0.2005960022055906;0.2005960022055906;0.2005960022055906;0.2083832786813394;0.2083832786813394;0.2083832786813394
2013-04-29;2.725;25.13;0.0;0.0;2.146;0.200656834357828;0.200656834357828;0.200656834357828;0.2090673186205942;0.2090673186205942;0.2090673186205942
2013-04-30;0.0;25.67;0.0;0.0;2.152;0.2007234231840365;0.2007234231840365;0.2007234231840365;0.2098010457457334;0.2098010457457334;0.2098010457457334
2013-05-01;0.0;25.27;0.0;2.0;2.157;0.2007962648588226;0.2007962648588226;0.2007962648588226;0.2105875267732135;0.2105875267732135;0.2105875267732135
2013-05-02;0.0;25.67;0.0;2.0;2.163;0.2008758933769465;0.2008758933769465;0.2008758933769465;0.211429972692907;0.211429972692907;0.211429972692907
2013-05-03;0.0;25.33;0.0;2.0;2.168;0.2009628829601599;0.2009628829601599;0.2009628829601599;0.2123317420013254;0.2123317420013254;0.2123317420013254
2013-05-04;0.0;25.33;0.0;2.0;2.171;0.201057850573656;0.201057850573656;0.201057850573656;0.2132963437142697;0.2132963437142697;0.2132963437142697
2013-05-05;1.55;25.0;0.0;2.0;2.176;0.2011614585531968;0.2011614585531968;0.2011614585531968;0.2143274401296304;0.2143274401296304;0.2143274401296304
2013-05-06;24.8;23.27;0.0;2.0;2.182;0.2012744173435782;0.2012744173435782;0.2012744173435782;0.2154288493098737;0.2154288493098737;0.2154288493098737
2013-05-07;1.65;22.27;0.0;2.0;2.187;0.2013974883486505;0.2013974883486505;0.2013974883486505;0.2166045472526342;0.2166045472526342;0.2166045472526342
2013-05-08;0.0;21.3;0.0;2.0;2.185;0.2015314868926232;0.2015314868926232;0.2015314868926232;0.2178586697167883;0.2178586697167883;0.2178586697167883
2013-05-09;0.0;23.1;0.0;2.0;2.182;0.2016772852918431;0.2016772852918431;0.2016772852918431;0.2191955136704303;0.2191955136704303;0.2191955136704303
2013-05-10;0.0;24.53;0.0;2.0;2.179;0.2018358160356527;0.2018358160356527;0.2018358160356527;0.2206195383263181;0.2206195383263181;0.2206195383263181
2013-05-11;0.0;24.47;0.0;2.0;2.176;0.2020080750743033;0.2020080750743033;0.2020080750743033;0.222135365729616;0.222135365729616;0.222135365729616
2013-05-12;0.475;24.6;0.0;2.0;2.171;0.2021951252112105;0.2021951252112105;0.2021951252112105;0.2237477808621479;0.2237477808621479;0.2237477808621479
2013-05-13;0.0;25.2;0.0;2.0;2.165;0.2023980995961076;0.2023980995961076;0.2023980995961076;0.2254617312268995;0.2254617312268995;0.2254617312268995
2013-05-14;0.0;25.07;0.0;2.0;2.16;0.2026182053148676;0.2026182053148676;0.2026182053148676;0.2272823258761858;0.2272823258761858;0.2272823258761858
